,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
118,118,14849,1326208860,6.7,6.7,6.7,6.7,0.76103501,5.098934567,6.7
119,119,14850,1326208920,6.7,6.7,6.7,6.7,1.5037594,10.07518798,6.7
120,120,14851,1326208980,6.7,6.7,6.7,6.7,1.5128593,10.13615731,6.7
121,121,14852,1326209040,6.7,6.7,6.7,6.7,7.6528593,51.27415731,6.7
122,122,14869,1326210060,6.55,6.55,6.55,6.55,1.52905199,10.015290535,6.55
123,123,14872,1326210240,6.55,6.55,6.55,6.55,1.53139357,10.030627883,6.55
124,124,15020,1326219120,7.1,7.1,7.1,7.1,4.0,28.4,7.1
125,125,15021,1326219180,7.1,7.1,7.1,7.1,1.51057402,10.725075542,7.1
126,126,15022,1326219240,7.1,7.1,7.1,7.1,1.51057402,10.725075542,7.1
127,127,15023,1326219300,7.1,7.1,7.1,7.1,0.12533083,0.889848893,7.1
128,128,15305,1326236220,7.14,7.14,7.14,7.14,4.59803922,32.830000031,7.14
129,129,15793,1326265500,7.14,7.14,7.14,7.14,1.40196078,10.009999969,7.14
130,130,15794,1326265560,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
131,131,15795,1326265620,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
132,132,15796,1326265680,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
133,133,15797,1326265740,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
134,134,15798,1326265800,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
135,135,15799,1326265860,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
136,136,15800,1326265920,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
137,137,15801,1326265980,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
138,138,15802,1326266040,7.14,7.14,7.14,7.14,1.447178,10.33285092,7.14
139,139,15803,1326266100,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
140,140,15804,1326266160,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
141,141,15805,1326266220,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
142,142,15807,1326266340,7.14,7.14,7.14,7.14,1.44927536,10.34782607,7.14
143,143,15808,1326266400,7.14,7.14,7.14,7.14,1.23712009,8.8330374426,7.14
144,144,15860,1326269520,6.25,6.25,6.25,6.25,10.15,63.4375,6.25
145,145,15861,1326269580,6.25,6.25,6.25,6.25,0.85,5.3125,6.25
146,146,15954,1326275160,7.0,7.0,7.0,7.0,1.0,7.0,7.0
147,147,16123,1326285300,7.2,7.2,7.2,7.2,1.0,7.2,7.2
148,148,16124,1326285360,7.2,7.2,7.2,7.2,1.41442716,10.183875552,7.2
149,149,16125,1326285420,7.2,7.2,7.2,7.2,1.41442716,10.183875552,7.2
150,150,16126,1326285480,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
151,151,16127,1326285540,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
152,152,16129,1326285660,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
153,153,16130,1326285720,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
154,154,16131,1326285780,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
155,155,16132,1326285840,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
156,156,16133,1326285900,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
157,157,16134,1326285960,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
158,158,16135,1326286020,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
159,159,16136,1326286080,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
160,160,16137,1326286140,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
161,161,16138,1326286200,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
162,162,16139,1326286260,7.2,7.2,7.2,7.2,1.40449438,10.112359536,7.2
163,163,16140,1326286320,7.2,7.2,7.2,7.2,1.40646976,10.126582272,7.2
164,164,16142,1326286440,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
165,165,16143,1326286500,7.2,7.2,7.2,7.2,1.40252454,10.098176688,7.2
166,166,16144,1326286560,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
167,167,16145,1326286620,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
168,168,16146,1326286680,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
169,169,16147,1326286740,7.2,7.2,7.2,7.2,1.41242938,10.169491536,7.2
170,170,16206,1326290280,7.21,7.21,7.21,7.21,3.0,21.63,7.21
171,171,16207,1326290340,7.21,7.21,7.21,7.21,1.40646976,10.14064697,7.21
172,172,16233,1326291900,7.22,7.33,7.22,7.33,12.92299,93.987257713,7.2728724322
173,173,16270,1326294120,6.9,6.9,6.9,6.9,1.0,6.9,6.9
174,174,16487,1326307140,7.0,7.0,7.0,7.0,4.97428571,34.81999997,7.0
175,175,16640,1326316320,7.0,7.0,7.0,7.0,8.02571429,56.18000003,7.0
176,176,16643,1326316500,7.0,7.0,7.0,7.0,8.60428571,60.22999997,7.0
177,177,16992,1326337440,6.95,6.95,6.95,6.95,8.8,61.16,6.95
178,178,17426,1326363480,7.3,7.3,7.3,7.3,9.54109589,69.649999997,7.3
179,179,17581,1326372780,7.3,7.3,7.3,7.3,0.45890411,3.350000003,7.3
180,180,17628,1326375600,7.25,7.25,7.25,7.25,11.594178,84.0577905,7.25
181,181,17629,1326375660,7.25,7.25,7.25,7.25,1.447178,10.4920405,7.25
182,182,17630,1326375720,7.38,7.38,7.38,7.38,39.4,290.772,7.38
183,183,17670,1326378120,7.36,7.36,7.36,7.36,5.99728261,44.14000001,7.36
184,184,17680,1326378720,6.8,6.8,6.8,6.8,1.0,6.8,6.8
